# b6090c78-2c38-489a-9705-9f7a69b9fcd5,,
# 603fd3987364b09f9aacb70d1ed12c268e24dd56,,
# s_m,x_m,y_m
35.1934484,20.216675818890927,-22.333550710537548
35.3934112,20.407234947631974,-22.43218619338957
35.5933740,20.599148404842527,-22.527785391005743
35.7933368,20.79234901471445,-22.620288454272167
35.9932996,20.986795210831875,-22.70963248691424
36.1932623,21.1824563348976,-22.79575586046897
36.3932251,21.379292462139585,-22.878594975453982
36.5931879,21.577257856220893,-22.958092100662167
36.7931507,21.776309970640863,-23.03418320883312
36.9931134,21.9764031662061,-23.10680673090254
37.1930762,22.177490463278136,-23.175897431564163
37.3930390,22.37951957377569,-23.241403093173307
37.5930018,22.582443431755493,-23.303248323569587
37.7929645,22.78620663636375,-23.361378113069176
37.9929273,22.990754292017215,-23.415730706562364
38.1928901,23.19602904587383,-23.466246493918018
38.3928529,23.40197228777855,-23.512863325692315
38.5928156,23.608520742500144,-23.555529662158197
38.7927784,23.815615770979925,-23.59418376209443
38.9927412,24.023218567947723,-23.628776561017357
39.1927040,24.231326785862922,-23.659279220346324
39.3926667,24.4399039109979,-23.685669232741688
39.5926295,24.648856143273093,-23.707926785282876
39.7925923,24.85808705642702,-23.726013410588433
39.9925551,25.067499535538513,-23.739899793802742
40.1925178,25.276994427663023,-23.74956218621556
40.3924806,25.486471697087374,-23.754955834324566
40.5924434,25.69583023695047,-23.75606154624146
40.7924062,25.904966814114232,-23.752834076931723
40.9923689,26.113776161981203,-23.745248158175723
41.1923317,26.32215148160969,-23.73326436564456
41.3922945,26.52998469699276,-23.716858896192846
41.5922573,26.737164089862638,-23.695986379889852
41.7922200,26.94357787319056,-23.67063154307911
41.9921828,27.14910908225606,-23.64074695324074
42.1921456,27.353642762537945,-23.60631631525707
42.3921084,27.557059483991186,-23.567309331009604
42.5920711,27.75923734973456,-23.523698301947807
42.7920339,27.960053458390064,-23.475462617294554
42.9919967,28.159389132737797,-23.42258550275684
43.1919595,28.35711209819379,-23.36504073369758
43.3919222,28.553086742801273,-23.302832982058245
43.5918850,28.747218917818984,-23.235922019933092
43.7918478,28.939465134769392,-23.16428775331642
43.9918106,29.1297914110439,-23.0879274920362
44.1917733,29.318130554398355,-23.00685220366005
44.3917361,29.50435899513648,-22.92112918621796
44.5916989,29.68829834766545,-22.830839879061173
44.7916617,29.86975897167932,-22.736028541497085
44.9916244,30.04897586646552,-22.63649385734387
45.1915872,30.22652102770023,-22.532064374359624
45.3915500,30.40269676818044,-22.422819362703
45.5915128,30.57763856177594,-22.30893658221166
45.7914755,30.751479590373762,-22.19062693075053
45.9914383,30.924069537226895,-22.068375396301253
46.1914011,31.094822019170902,-21.942800006779205
46.3913639,31.26311419440128,-21.814337976229496
46.5913266,31.428487573136703,-21.68319920029638
46.7912894,31.590734655904086,-21.549348355114915
46.9912522,31.749772068416554,-21.412720923698753
47.1912150,31.905450857926155,-21.273308690894456
47.3911777,32.057596423832265,-21.131097100333267
47.5911405,32.2060454620109,-20.986068124538793
47.7911033,32.350657326922374,-20.838206482742944
47.9910661,32.49127079239059,-20.68750757584897
48.1910288,32.6276834170348,-20.53404511532727
48.3909916,32.759870537513535,-20.37755446366655
48.5909544,32.88835141039362,-20.217364122660044
48.7909172,33.013687348235486,-20.0531247753655
48.9908799,33.13613953209416,-19.884898792789933
49.1908427,33.255883361322184,-19.712899708533598
49.3908055,33.37302240448429,-19.537374565002153
49.5907683,33.48770714082021,-19.358544149557225
49.7907310,33.600119073687466,-19.176620499808525
49.9906938,33.71043071306854,-18.991809177115726
50.1906566,33.81881853646454,-18.80429264848052
50.3906194,33.925463879373766,-18.61423686444888
50.5905821,34.03055372428195,-18.42184133770497
50.7905449,34.13402641095253,-18.22792945521637
50.9905077,34.23477435807921,-18.034746315901852
51.1904705,34.331073528333654,-17.843680746677848
51.3904332,34.42214266014441,-17.654548319745828
51.5903960,34.50727390304064,-17.46739590736338
51.7903588,34.58563334404198,-17.28218341586896
51.9903216,34.657200622575246,-17.09681011168084
52.1902843,34.72312146073342,-16.90817453552598
52.3902471,34.78491838722452,-16.712901390637388
52.5902099,34.84455432738849,-16.509357493963247
52.7901727,34.90317094580511,-16.29834156468573
52.9901355,34.9618501519974,-16.080931901267483
53.1900982,35.02165308906872,-15.858471613631457
53.3900610,35.08276190834911,-15.63368301121808
53.5900238,35.14468535958995,-15.408864539403693
53.7899866,35.207342708877434,-15.184173357289648
53.9899493,35.27086155534159,-14.959424937616713
54.1899121,35.33528249427752,-14.734709838288552
54.3898749,35.400635996974586,-14.510067229427637
54.5898377,35.466977475039414,-14.285491334864073
54.7898004,35.5343406690229,-14.061050250795585
54.9897632,35.602756618007966,-13.836736868511961
55.1897260,35.67234075768548,-13.612386500094619
55.3896888,35.74307804538454,-13.388446278705345
55.5896515,35.8144705850321,-13.16600916251209
55.7896143,35.88561695017689,-12.946444769520314
55.9895771,35.955426356688456,-12.73081335034137
56.1895399,36.022698078313,-12.519115163810097
56.3895026,36.08659100303218,-12.310742280054544
56.5894654,36.14659880261306,-12.104642412027443
56.7894282,36.202785694148616,-11.89831263600465
56.9893910,36.25627729713672,-11.688583955251179
57.1893537,36.30830508485441,-11.474511717426093
57.3893165,36.35947462075229,-11.256608737394673
57.5892793,36.410482539464724,-11.035102314835957
57.7892421,36.462052750372045,-10.810820708477712
57.9892048,36.51416795815432,-10.585527911622014
58.1891676,36.5665886702593,-10.360295516609753
58.3891304,36.61929274929813,-10.135166097584165
58.5890932,36.67227753326521,-9.910130139532649
58.7890559,36.72553337299994,-9.685194536105064
58.9890187,36.77905170219756,-9.460357682693235
59.1889815,36.832825233174006,-9.235616300718672
59.3889443,36.88684615068226,-9.010969305668151
59.5889070,36.94110649779287,-8.786415355611108
59.7888698,36.995598528205626,-8.5619525767104
59.9888326,37.05031447795564,-8.337579390355765
60.1887954,37.10524649917216,-8.113294289664536
60.3887581,37.16038680192866,-7.889095520217188
60.5887209,37.215727644268355,-7.6649813166855765
60.7886837,37.27126125753222,-7.44095000468314
60.9886465,37.326979895117766,-7.2169997828675365
61.1886092,37.38287586774441,-6.993128806956566
61.3885720,37.438941418974096,-6.769335528059267
61.5885348,37.49516871439648,-6.545618285668435
61.7884976,37.55155008865261,-6.321974900989508
61.9884603,37.60807795642811,-6.098403458048754
62.1884231,37.66474453289264,-5.874902504122983
62.3883859,37.7215420460606,-5.651470146927851
62.5883487,37.778462911052976,-5.428104208775783
62.7883114,37.835499491508685,-5.204802902336773
62.9882742,37.89264405752446,-4.981564503741
63.1882370,37.949888941994104,-4.758387043833471
63.3881998,38.0072265915121,-4.535268555791998
63.5881625,38.06465016363391,-4.312207329642699
63.7881253,38.12215100521625,-4.089201235785141
63.9880881,38.179721360987855,-3.8662483539564687
64.1880509,38.23735396685883,-3.6433467349496267
64.3880136,38.29504061712977,-3.4204942088102266
64.5879764,38.352774419931485,-3.197689125836412
64.7879392,38.41054712426998,-2.974929361281333
64.9879020,38.46835155345508,-2.7522129168453806
65.1878647,38.526180152956705,-2.5295379679765495
65.3878275,38.58402584045266,-2.3069028664191333
65.5877903,38.64188038880806,-2.0843051897990046
65.7877531,38.69973608499716,-1.8617427671740052
65.9877158,38.75758581111014,-1.6392141381072982
66.1876786,38.81542117286391,-1.4167172191239432
66.3876414,38.87323533971879,-1.194249885978055
66.5876042,38.931020333955246,-0.9718097741250381
66.7875669,38.988769047430466,-0.7493953161570764
66.9875297,39.04647342709649,-0.5270059558597137
67.1874925,39.10412656414818,-0.3046336355711331
67.3874553,39.161727944473284,-0.08225963809091265
67.5874180,39.219281097331084,0.14012932988222884
67.7873808,39.27678854817124,0.3625371132575345
67.9873436,39.33425224571437,0.5849640178117868
68.1873064,39.39167352130146,0.8074088783256833
68.3872691,39.44905381596966,1.0298713788062757
68.5872319,39.50639475328066,1.25235129801197
68.7871947,39.56369787831204,1.4748481395268482
68.9871575,39.62096470166731,1.697361456870356
69.1871202,39.67819676723082,1.9198908787481122
69.3870830,39.735395615873,2.1424359874449075
69.5870458,39.7925627717199,2.3649963573330446
69.7870086,39.84969976805813,2.5875716057439524
69.9869713,39.90680815124668,2.8101613655968185
70.1869341,39.963889476599114,3.0327652612969915
70.3868969,40.02094528645282,3.2553828448404567
70.5868597,40.0779770861784,3.4780136656820186
70.7868225,40.1349864342683,3.7006574742773295
70.9867852,40.191974954226474,3.9233139368048584
71.1867480,40.24894413780849,4.145982364163512
71.3867108,40.3058954173265,4.368662323075511
71.5866736,40.362830412677816,4.591353761225289
71.7866363,40.41975076039312,4.814056280866977
